Time,Speed (m/s)
748,20.921471999999998
749,20.966175999999997
750,21.01088
751,21.100288000000003
752,21.2344
753,21.413216
754,21.45792
755,21.45792
756,21.45792
757,21.45792
758,21.45792
759,21.502624
760,21.547328
761,21.547328
762,21.502624
763,21.726144
764,21.860256
765,21.949664000000002
766,21.949664000000002
767,21.949664000000002
768,21.949664000000002
769,21.949664000000002
770,21.90496
771,21.860256
772,21.547328
773,21.323808
774,21.2344
775,21.100288000000003
776,20.876768000000002
777,20.653248
778,20.56384
779,20.474431999999997
780,20.385024
781,20.295616
782,20.206208
783,20.1168
784,19.982688
785,19.89328
786,19.759168000000003
787,19.44624
788,19.133312
789,18.77568
790,17.926304000000002
791,17.255744
792,16.764
793,16.004032
794,15.512288000000002
795,15.19936
796,14.886432
797,14.5288
798,14.171168
799,13.679424000000001
800,13.232384
801,12.874752
802,12.695936
803,12.785344
804,13.18768
805,14.037056
806,14.931135999999999
807,15.914624
808,16.764
809,17.479264
810,17.971008
811,18.373344
812,18.686272
813,18.954496
814,19.133312
815,19.356831999999997
816,19.580351999999998
817,19.803872
818,19.982688
819,20.1168
820,20.206208
821,20.295616
822,20.34032
823,20.474431999999997
824,20.56384
825,20.608544000000002
826,20.78736
827,20.921471999999998
828,21.055584
829,21.323808
830,21.592032
831,21.90496
832,22.217888000000002
833,22.486112
834,22.799039999999998
835,23.111968
836,23.424896
837,23.737824
838,24.050752
839,24.36368
840,24.676608
841,24.944831999999998
842,25.213055999999998
843,25.436576
844,25.481279999999998
845,25.525984
846,25.615392
847,25.749504
848,25.838911999999997
849,25.92832
850,25.973024
851,26.107136
852,26.241248000000002
853,26.285951999999998
854,26.330655999999998
855,26.37536
856,26.37536
857,26.330655999999998
858,26.285951999999998
859,26.196544
860,26.107136
861,26.017728
862,25.973024
863,25.92832
864,25.883616
865,25.749504
866,25.660096
867,25.570688
868,25.525984
869,25.481279999999998
870,25.481279999999998
871,25.436576
872,25.436576
873,25.436576
874,25.481279999999998
875,25.481279999999998
876,25.481279999999998
877,25.481279999999998
878,25.481279999999998
879,25.481279999999998
880,25.481279999999998
881,25.481279999999998
882,25.481279999999998
883,25.436576
884,25.391872
885,25.25776
886,25.123648
887,25.03424
888,25.03424
889,25.03424
890,25.078944
891,25.213055999999998
892,25.347168
893,25.436576
894,25.525984
895,25.615392
896,25.660096
897,25.660096
898,25.570688
899,25.481279999999998
900,25.436576
901,25.302464
902,25.168352
903,25.078944
904,25.213055999999998
905,25.347168
906,25.525984
907,25.7048
908,25.838911999999997
909,25.92832
910,25.92832
911,25.92832
912,25.92832
913,25.92832
914,25.92832
915,25.883616
916,25.838911999999997
917,25.794208
918,25.794208
919,25.838911999999997
920,25.883616
921,25.92832
922,25.973024
923,26.107136
924,26.330655999999998
925,26.420064
926,26.554176
927,26.732992
928,26.777696
929,26.777696
930,26.732992
931,26.643584
932,26.554176
933,26.464768
934,26.420064
935,26.37536
936,26.330655999999998
937,26.241248000000002
938,26.196544
939,26.15184
940,26.107136
941,26.107136
942,26.062431999999998
943,26.017728
944,25.973024
945,25.92832
946,25.883616
947,25.883616
948,25.883616
949,25.883616
950,25.883616
951,25.92832
952,25.973024
953,25.973024
954,26.017728
955,26.017728
956,26.017728
957,25.973024
958,25.92832
959,25.92832
960,25.92832
961,25.92832
962,25.92832
963,25.92832
964,25.883616
965,25.883616
966,25.92832
967,25.973024
968,25.973024
969,26.017728
970,26.062431999999998
971,26.062431999999998
972,26.062431999999998
973,26.017728
974,25.973024
975,25.92832
976,25.838911999999997
977,25.7048
978,25.525984
979,25.481279999999998
980,25.302464
981,25.078944
982,25.03424
983,24.944831999999998
984,24.81072
985,24.676608
986,24.631904
987,24.5872
988,24.542496
989,24.542496
990,24.542496
991,24.542496
992,24.542496
993,24.542496
994,24.5872
995,24.5872
996,24.5872
997,24.5872
998,24.5872
999,24.5872
1000,24.631904
1001,24.631904
1002,24.5872
1003,24.542496
1004,24.542496
1005,24.497791999999997
1006,24.453088
1007,24.408384
1008,24.318976
1009,24.274272
1010,24.274272
1011,24.229568
1012,24.184864
1013,24.184864
1014,24.184864
1015,24.140159999999998
1016,24.140159999999998
1017,24.140159999999998
1018,24.140159999999998
1019,24.140159999999998
1020,24.140159999999998
1021,24.140159999999998
1022,24.140159999999998
1023,24.184864
1024,24.229568
1025,24.36368
1026,24.497791999999997
1027,24.542496
1028,24.5872
1029,24.631904
1030,24.676608
1031,24.676608
1032,24.721311999999998
1033,24.766016
1034,24.81072
1035,24.855424
1036,24.900128000000002
1037,24.944831999999998
1038,24.989535999999998
1039,25.03424
1040,25.03424
1041,25.03424
1042,25.03424
1043,25.03424
1044,25.03424
1045,25.03424
1046,25.03424
1047,25.03424
1048,25.03424
1049,25.03424
1050,25.03424
1051,25.03424
1052,25.03424
1053,24.989535999999998
1054,24.989535999999998
1055,24.989535999999998
1056,24.944831999999998
1057,24.855424
1058,24.766016
1059,24.676608
1060,24.631904
1061,24.5872
1062,24.542496
1063,24.408384
1064,24.318976
1065,24.229568
1066,24.184864
1067,24.050752
1068,23.871935999999998
1069,23.827232
1070,23.737824
1071,23.648415999999997
1072,23.514304
1073,23.424896
1074,23.335488
1075,23.290784
1076,23.24608
1077,23.24608
1078,23.24608
1079,23.24608
1080,23.290784
1081,23.24608
1082,23.24608
1083,23.201376
1084,23.067264
1085,22.977856
1086,22.843744
1087,22.664928
1088,22.486112
1089,22.262591999999998
1090,22.039071999999997
1091,21.770848
1092,21.547328
1093,21.502624
1094,21.45792
1095,21.45792
1096,21.502624
1097,21.636736
1098,21.860256
1099,21.90496
1100,21.949664000000002
1101,21.949664000000002
1102,21.90496
1103,21.90496
1104,21.860256
1105,21.726144
1106,21.592032
1107,21.45792
1108,21.413216
1109,21.368512
1110,21.323808
1111,21.413216
1112,21.592032
1113,21.90496
1114,21.949664000000002
1115,21.90496
1116,21.860256
1117,21.45792
1118,21.055584
1119,20.653248
1120,20.608544000000002
1121,20.608544000000002
1122,20.653248
1123,20.966175999999997
1124,21.368512
1125,21.90496
1126,22.217888000000002
1127,22.620224
1128,23.02256
1129,23.335488
1130,23.559008000000002
1131,23.69312
1132,23.961344
1133,24.140159999999998
1134,24.184864
1135,24.318976
1136,24.453088
1137,24.631904
1138,24.766016
1139,24.766016
1140,24.5872
1141,24.36368
1142,23.961344
1143,23.4696
1144,22.441408000000003
1145,21.547328
1146,20.78736
1147,20.653248
1148,20.56384
1149,20.56384
1150,20.697951999999997
1151,20.921471999999998
1152,21.2344
1153,21.547328
1154,21.815551999999997
1155,22.12848
1156,22.441408000000003
1157,22.664928
1158,22.843744
1159,23.111968
1160,23.335488
1161,23.4696
1162,23.290784
1163,23.067264
1164,22.843744
1165,22.799039999999998
1166,22.799039999999998
1167,22.843744
1168,22.977856
1169,23.111968
1170,23.24608
1171,23.335488
1172,23.4696
1173,23.603711999999998
1174,23.559008000000002
1175,23.514304
1176,23.380191999999997
1177,23.380191999999997
1178,23.424896
1179,23.4696
1180,23.559008000000002
1181,23.559008000000002
1182,23.424896
1183,23.290784
1184,23.111968
1185,22.843744
1186,22.57552
1187,22.396704
1188,22.262591999999998
1189,22.217888000000002
1190,22.173184
1191,22.12848
1192,22.12848
1193,22.217888000000002
1194,22.352
1195,22.441408000000003
1196,22.620224
1197,22.843744
1198,23.067264
1199,23.201376
1200,23.24608
1201,23.290784
1202,23.424896
1203,23.648415999999997
1204,23.827232
1205,24.006048
1206,24.229568
1207,24.36368
1208,24.497791999999997
1209,24.5872
1210,24.81072
1211,24.989535999999998
1212,25.078944
1213,25.168352
1214,25.213055999999998
1215,25.25776
1216,25.347168
1217,25.436576
1218,25.481279999999998
1219,25.615392
1220,25.794208
1221,26.017728
1222,26.285951999999998
1223,26.420064
1224,26.464768
1225,26.420064
1226,26.285951999999998
1227,26.15184
1228,25.973024
1229,25.794208
1230,25.615392
1231,25.525984
1232,25.391872
1233,25.25776
1234,25.123648
1235,24.81072
1236,24.408384
1237,24.184864
1238,24.006048
1239,23.782528
1240,23.648415999999997
1241,23.4696
1242,23.24608
1243,22.933152
1244,22.57552
1245,22.12848
1246,21.68144
