Time,Speed (m/s)
890,12.07008
891,12.2936
892,12.427712
893,12.51712
894,12.427712
895,12.51712
896,12.51712
897,12.51712
898,12.383008
899,12.248896
900,12.025376
901,11.891264
902,11.84656
903,11.84656
904,11.84656
905,11.757152
906,11.712448
907,11.712448
908,11.578336
909,11.444224
910,11.444224
911,11.578336
912,11.533632
913,11.39952
914,10.997184
915,10.50544
916,9.924288
917,9.656064
918,9.656064
919,9.700768
920,10.103104
921,10.460736
922,10.72896
923,10.818368
924,10.907776
925,11.131296
926,11.220704
927,11.265408
928,11.310112
929,11.39952
930,11.265408
931,11.176
932,11.176
933,11.176
934,11.041888
935,10.95248
936,10.863072
937,10.863072
938,10.95248
939,11.176
940,11.176
941,10.997184
942,10.997184
943,10.773664
944,10.95248
945,11.220704
946,11.444224
947,11.220704
948,10.72896
949,9.83488
950,8.985504
951,7.554976
952,6.079744
953,4.604512
954,3.12928
955,1.654048
956,0.178816
957,0
958,0
959,0
960,0.89408
961,2.369312
962,3.844544
963,5.319776
964,6.795008
965,7.8232
966,8.314944
967,8.9408
968,9.432544
969,9.83488
970,10.28192
971,10.95248
972,11.757152
973,12.2936
974,12.561824
975,12.695936
976,12.74064
977,12.74064
978,12.74064
979,12.383008
980,12.2936
981,12.159488
982,11.980672
983,11.84656
984,11.62304
985,11.488928
986,11.265408
987,10.72896
988,9.83488
989,9.61136
990,9.61136
991,9.745472
992,10.0584
993,10.28192
994,10.192512
995,10.192512
996,10.28192
997,10.147808
998,10.147808
999,10.147808
1000,10.50544
1001,10.72896
1002,10.997184
1003,11.086592
1004,11.220704
1005,11.39952
1006,11.444224
1007,11.39952
1008,11.176
1009,10.773664
1010,10.594848
1011,10.371328
1012,10.237216
1013,10.0584
1014,9.83488
1015,9.656064
1016,9.16432
1017,7.8232
1018,6.347968
1019,4.872736
1020,3.397504
1021,1.922272
1022,0.44704
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0.536448
1054,1.78816
1055,3.263392
1056,4.738624
1057,6.213856
1058,7.59968
1059,8.27024
1060,8.9408
1061,9.745472
1062,10.28192
1063,10.72896
1064,11.086592
1065,11.444224
1066,11.84656
1067,11.980672
1068,12.248896
1069,12.472416
1070,12.651232
1071,12.51712
1072,12.2936
1073,12.07008
1074,12.07008
1075,11.757152
1076,10.95248
1077,10.0584
1078,9.61136
1079,9.209024
1080,8.04672
1081,6.7056
1082,5.498592
1083,4.962144
1084,4.738624
1085,4.4704
1086,4.24688
1087,4.068064
1088,3.889248
1089,3.844544
1090,3.933952
1091,4.02336
1092,3.889248
1093,3.844544
1094,3.57632
1095,3.12928
1096,2.2352
1097,1.877568
1098,1.162304
1099,0.44704
1100,0
1101,0.044704
1102,0.268224
1103,0.715264
1104,1.609344
1105,3.084576
1106,4.4704
1107,5.722112
1108,6.25856
1109,6.48208
1110,7.15264
1111,8.091424
1112,8.9408
1113,9.38784
1114,9.477248
1115,9.521952
1116,9.566656
1117,9.700768
1118,10.0584
1119,10.28192
1120,10.639552
1121,10.95248
1122,11.176
1123,11.131296
1124,11.086592
1125,11.176
1126,11.354816
1127,11.533632
1128,11.62304
1129,11.801856
1130,11.891264
1131,12.025376
1132,12.07008
1133,12.07008
1134,12.07008
1135,12.025376
1136,11.980672
1137,11.980672
1138,11.84656
1139,11.801856
1140,11.62304
1141,11.39952
1142,10.997184
1143,10.50544
1144,9.61136
1145,8.9408
1146,7.8232
1147,7.15264
1148,6.25856
1149,4.783328
1150,3.308096
1151,1.832864
1152,0.357632
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,0
1160,0
1161,0
1162,0
1163,0
1164,0
1165,0
1166,0
1167,0
1168,0
1169,0.938784
1170,2.414016
1171,3.889248
1172,5.36448
1173,6.839712
1174,8.314944
1175,9.432544
1176,10.28192
1177,10.50544
1178,10.28192
1179,10.0584
1180,8.9408
1181,7.465568
1182,5.990336
1183,4.515104
1184,3.039872
1185,1.56464
1186,0.089408
1187,0
1188,0
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,0
1196,0
1197,0.089408
1198,0.67056
1199,1.56464
1200,2.90576
1201,4.380992
1202,5.36448
1203,5.766816
1204,5.81152
1205,5.632704
1206,5.722112
1207,5.856224
1208,5.856224
1209,6.25856
1210,6.92912
1211,7.59968
1212,8.314944
1213,8.806688
1214,9.38784
1215,9.61136
1216,9.745472
1217,9.745472
1218,9.61136
1219,9.477248
1220,9.61136
1221,9.745472
1222,9.83488
1223,9.790176
1224,9.700768
1225,9.61136
1226,9.61136
1227,9.566656
1228,8.985504
1229,8.71728
1230,8.583168
1231,8.761984
1232,8.851392
1233,8.9408
1234,8.71728
1235,7.8232
1236,6.92912
1237,5.81152
1238,4.4704
1239,3.57632
1240,2.68224
1241,1.78816
1242,1.1176
1243,0.312928
1244,0
1245,0
1246,0
1247,0
1248,0
1249,0
1250,0
1251,0
1252,0.44704
1253,0.44704
1254,0.44704
1255,0.44704
1256,0.44704
1257,0.715264
1258,1.34112
1259,1.78816
1260,2.2352
1261,2.816352
1262,3.57632
1263,4.4704
1264,4.69392
1265,4.24688
1266,3.79984
1267,3.397504
1268,3.933952
1269,4.91744
1270,6.25856
1271,7.59968
1272,8.71728
1273,9.38784
1274,9.745472
1275,9.924288
1276,10.28192
1277,10.550144
1278,10.773664
1279,10.95248
1280,10.95248
1281,10.72896
1282,10.50544
1283,10.50544
1284,10.50544
1285,10.50544
1286,10.50544
1287,10.50544
1288,10.72896
1289,10.773664
1290,10.95248
1291,11.041888
1292,11.176
1293,11.354816
1294,11.444224
1295,11.488928
1296,11.62304
1297,11.712448
1298,12.07008
1299,12.427712
1300,12.651232
1301,12.96416
1302,13.008864
1303,12.96416
1304,12.51712
1305,11.041888
1306,9.566656
1307,8.091424
1308,6.616192
1309,5.14096
1310,3.665728
1311,2.190496
1312,0.715264
1313,0
1314,0
1315,0
1316,0
1317,0
1318,0
1319,0
1320,0
1321,0
1322,0
1323,0
1324,0
1325,0
1326,0
1327,0
1328,0
1329,0
1330,0
1331,0
1332,0
1333,0
1334,0
1335,0
1336,0
1337,0
1338,0.67056
1339,2.145792
1340,3.621024
1341,5.096256
1342,5.900928
1343,6.750304
1344,7.510272
1345,8.180832
1346,8.71728
1347,9.074912
1348,9.521952
1349,9.790176
1350,9.879584
1351,10.013696
1352,9.83488
1353,9.656064
1354,9.432544
1355,9.16432
1356,8.9408
1357,8.761984
1358,8.27024
1359,7.8232
1360,7.37616
1361,6.92912
1362,6.25856
1363,4.91744
1364,3.57632
1365,2.324608
1366,1.1176
1367,0
1368,0
1369,0
